,program,content,start,end,start_s,end_s,duration_s
3699,5269210_001,de piocher dans un des plus gros budgets la semaine dernière manuel valls n'a pas complètement écarté l'idée de rectifier la loi qui définit le,0:02:27.370000,0:02:34.550000,147.37,154.55,7.180000000000007
3700,5269210_001,budget de l'armée elle reste totalement valable ça ne veut pas dire qu'il peut pas y avoir ici ou là des ajustements c'est quoi ici ou là et rien justement nous verrons,0:02:34.550000,0:02:43.770000,154.55,163.77,9.219999999999999
3701,5269210_001,mais pour l'état-major un nouvel effort semble inconcevable c'est rare les quatre plus hauts gradés de l'armée française ont d'ores et déjà menacé de rendre leurs galons le signe d'un malaise profond,0:02:43.770000,0:02:55.720000,163.77,175.72,11.949999999999989
3702,5269210_001,engagé dans un programme d'économies depuis plusieurs années l'armée française a de plus en plus de mal à assumer ses mythes,0:02:56.200000,0:03:01.980000,176.2,181.98,5.780000000000001
3703,5269210_001,son véhicule blindé hors d'âge hélicoptères parfois vieux de quarante ans les signes de précarisation se multiplient,0:03:02.040000,0:03:08.720000,182.04,188.72,6.680000000000007
3704,5269210_001,une armée à bout de souffle affirment les spécialistes,0:03:08.770000,0:03:11.430000,188.77,191.43,2.6599999999999966
3705,5269210_001,désormais non pas assez d'argent pour acheter des pièces de rechange,0:03:11.780000,0:03:15.060000,191.78,195.06,3.280000000000001
3706,5269210_001,un avion sur deux ne peut pas décoller un bateau sur deux ne peut pas naviguer un véhicule sur deux de l'armée de terre ne peut pas avancer,0:03:15.120000,0:03:22.740000,195.12,202.74,7.6200000000000045
3707,5269210_001,l'armée attend désormais une réponse claire et définitive de la part de françois hollande,0:03:22.740000,0:03:27.370000,202.74,207.37,4.6299999999999955
3708,5269210_001,le chef de l'état devra trancher ce bras de fer entre bercy et les militaires francs,0:03:27.430000,0:03:31.590000,207.43,211.59,4.159999999999997
3709,5269210_001,autre grand titre de l'actualité aujourd'hui les fraudes aux prestations sociales les chiffres pour l'année deux mille treize ont été connues coq ont été communiqués ce matin et les cas sont en très forte hausse plus seize virgule cinq pour cent plus dix huit virgule sept pour cent pour les sanctions,0:03:32.690000,0:03:48.540000,212.69,228.54,15.849999999999994
3710,5269210_001,mais attention ils sont peut être euh en trompe-l'oeil puisque les contrôles se sont renforcés ils sont surtout beaucoup plus ciblées et donc plus efficaces notamment grâce au croisement des fichiers informatiques le point avec yves junqua et david dameda,0:03:48.540000,0:04:02.510000,228.54,242.51,13.969999999999999
3711,5269210_001,connaître aussi traquent les fraudeurs à la caisse d'allocations familiales ici elle soupçonne un mari d'avoir inventé une séparation pour toucher le rsa,0:04:02.510000,0:04:10.740000,242.51,250.74,8.230000000000018
3712,5269210_001,nous nous a déclaré une séparation,0:04:10.740000,0:04:12.460000,250.74,252.46,1.7199999999999989
3713,5269210_001,donc il a déclaré être hébergés à une autre adresse il nous a fait une demande le rsa va payer du rsa sur son dossier en a laissé madame tall avec les enfants sur l'autre dossier,0:04:12.730000,0:04:21.640000,252.73,261.64,8.909999999999997
3714,5269210_001,dan déclare n'a jamais été ce qui parler,0:04:22.290000,0:04:24.490000,262.29,264.49,2.1999999999999886
3715,5269210_001,bonjour madame roussier contre la casse,0:04:24.840000,0:04:28.270000,264.84,268.27,3.430000000000007
3716,5269210_001,avant je suis bien pendant cinq minutes,0:04:28.270000,0:04:31.920000,268.27,271.92,3.650000000000034
3717,5269210_001,enfin il dit il dit dans dix pays lloris c'est c'est c'est en fait le souci et monsieur il dit l'inverse,0:04:32.270000,0:04:39.550000,272.27,279.55,7.28000000000003
3718,5269210_001,en fait le couple n'est pas se séparer la fraude est avérée il faudra donc rembourser plusieurs mois de rsa au total l'an dernier la caf a détecté vingt et un mille abus soit cent quarante et un millions d'euros versées indûment ces dix huit pour cent de plus qu'en deux mille douze,0:04:39.730000,0:04:56.260000,279.73,296.26,16.529999999999973
3719,5269210_001,cette augmentation est surtout due à une meilleure qualité des contrôles ici à la cave de paris les agents utilise un logiciel qui permet de croiser les informations des impôts et de pôle emploi voici un exemple,0:04:56.970000,0:05:10.430000,296.97,310.43,13.45999999999998
3720,5269210_001,on a un dossier euh pour lequel allocataires comme tous les trimestres pour pour avoir le droit au rsa nous a déclaré qu'il n'avait pas de ressources vous voyez bien euh nous avons zéro vos sources pour le mois de janvier février et mars problème,0:05:10.430000,0:05:25.510000,310.43,325.51,15.079999999999984
3721,5269210_001,les échanges que nous avons avec l'administration fiscale nous prouve l'inverse monsieur a bien touché des salaires il risque une pénalité administrative,0:05:25.510000,0:05:35.050000,325.51,335.05,9.54000000000002
3722,5269210_001,une pénalité de six cent vingt cinq euros en moyenne en plus du remboursement les principales fraude concerne le rsa appuient les allocations logement et enfin les prestations familiales les cas les plus graves se termine devant les tribunaux,0:05:35.050000,0:05:48.070000,335.05,348.07,13.019999999999982
3723,5269210_001,nous avons améliorer considérablement et nous continuons à améliorer que que nos techniques de détection et c'est important parce que toute fraude même petit c'est un coup de canif dans la solidarité,0:05:48.070000,0:05:58.260000,348.07,358.26,10.189999999999998
3724,5269210_001,les fraudes détectées l'an dernier représente zéro virgule deux pour cent des soixante quatre milliards d'euros de prestations versée par la caf,0:05:58.260000,0:06:06.390000,358.26,366.39,8.129999999999995
3725,5269210_001,c'est une première judiciaire en france un locataire a été condamné à verser deux mille euros à son bailleur et pour cause il avait proposé une chambre de son logement à la sous location sur le site herbie nba deyda ponctuel,0:06:07.010000,0:06:20.190000,367.01,380.19,13.180000000000007
3726,5269210_001,le problème c'est que c'est illégal et que c'est c'est repérables quand la transaction est proposé sur internet florence boukiya alain locascio,0:06:20.190000,0:06:27.430000,380.19,387.43,7.240000000000009
3727,5269210_001,gagner de l'argent en soulevant une chambre dans son appartement,0:06:28.220000,0:06:31.830000,388.22,391.83,3.609999999999957
3728,5269210_001,c'est ce que cherche les nombreux locataires qui s'inscrivent sur le site herbie albi dans les villes touristiques les vacanciers se précipitent sur tes annonces,0:06:31.830000,0:06:39.780000,391.83,399.78,7.949999999999989
3729,5269210_001,mais cela risque de changer car une première condamnation pour sous location illégale vient de tomber le locataire proposait une chambre pour quatre cent cinquante euros par semaine il est condamné à verser deux mille euros pour préjudice à son propriétaire,0:06:39.780000,0:06:54.530000,399.78,414.53,14.75
3730,5269210_001,on a le droit sous louer son appartement ma différentes conditions cercle locataire doit tout d'abord demander l'autorisation préalable à son propriétaire d'une part et ensuite le loyer qui va pratiquer à son tour locataire illimité,0:06:55.210000,0:07:06.640000,415.21,426.64,11.430000000000007
3731,5269210_001,un propriétaire aussi à des obligations différent s'il s'agit de sa résidence principale ou secondaire,0:07:06.640000,0:07:12.820000,426.64,432.82,6.180000000000007
3732,5269210_001,il devra parfois demandé l'accord de la mairie faire une déclaration de revenus voire même s'inscrire au registre du commerce,0:07:12.940000,0:07:19.800000,432.94,439.8,6.860000000000014
3733,5269210_001,problème les contraintes change selon les régions touristiques ou non et ne sont pas mises en avant par les sites qui propose les logements sur la version française du site américain herbie allenby il est juste indiquer que les autres doivent comprendre comment les lois s'appliquent dans leur ville de quoi laisser planer un certain,0:07:20.060000,0:07:37.660000,440.06,457.66,17.600000000000023
3734,5269210_001,ou tout autre chose maintenant avec cette initiative qui fait débat à à linge cette année la seule école de ce village de haute-savoie a décidé de ne pas faire faire de cadeaux pour la fête des mères pas de colliers de nouilles ou de figurines en pâte à sel l'équipe pédagogique veut ainsi protéger les enfants qui sont dans une situation familiale difficile beau,0:07:39.350000,0:07:58.580000,459.35,478.58,19.22999999999996
3735,5269210_001,tout par parents regrette que la tradition ne soit pas respecté sur place le reportage de étienne prigent et eric jacquin,0:07:58.580000,0:08:04.750000,478.58,484.75,6.170000000000016
3736,5269210_001,les parents l'ont appris par un courrier dans le carnet de correspondance de leurs enfants désormais dans cette école maternelle et primaire la fête des mères comme celle des pères et supprimer dimanche il y aura donc pas de cadeaux confectionnée à l'école,0:08:05.160000,0:08:16.960000,485.16,496.96,11.799999999999955
3737,5269210_001,il dès le début euh offrir des choses,0:08:16.960000,0:08:21.040000,496.96,501.04,4.080000000000041
3738,5269210_001,et là tu vois pas le faire c'est oui alain site,0:08:21.300000,0:08:24.030000,501.3,504.03,2.7299999999999613
3739,5269210_001,un sentiment partagé par certains parents à la sortie des classes tout à l'heure pour nous,0:08:25,0:08:29.220000,505.0,509.22,4.220000000000027
3740,5269210_001,ça représente des petites bricole mais pour les enfants c'est beaucoup c'est c'est des secrets c'est des c'est plein de choses qui se sont mis en place qui des choses qu' qui prépare que ceux qui qui peuvent offrir à leurs parents alors maire,0:08:29.220000,0:08:40.740000,509.22,520.74,11.519999999999982
3741,5269210_001,et il y a beaucoup de secrets,0:08:40.860000,0:08:42.680000,520.86,522.68,1.8199999999999363
3742,5269210_001,c'était la suppression d'une tradition au niveau de l'école et pour prouver que c'est pas une fait que spécialement commercial là nos enfants ils fabriquaient quelque chose de leurs mains,0:08:42.680000,0:08:51.500000,522.68,531.5,8.82000000000005
3743,5269210_001,et là maintenant ben c'est vrai que ça va être plus facile on donnait un billet et puis va acheter quelque chose,0:08:51.610000,0:08:56.260000,531.61,536.26,4.649999999999977
3744,5269210_001,de son côté la directrice qui n'a pas souhaité s'exprimer explique vouloir protéger les enfants confrontés à des divorces compliqué ou à des décès de parents au moins dix pour cent des élèves selon elle,0:08:56.450000,0:09:06.130000,536.45,546.13,9.67999999999995
3745,5269210_001,considérer que c'est discutable et on peut se bagarrer pour les dans les deux cas parce que je pense qu'aussi euh ça doit pas être évident pour des enfants comporte pas,0:09:06.210000,0:09:12.530000,546.21,552.53,6.319999999999936
3746,5269210_001,mais sachant que la majorité des enfants général ont des parents,0:09:13.050000,0:09:15.900000,553.05,555.9,2.8500000000000227
3747,5269210_001,est ce que il faut forcément supprimer cette fait je pense pas personnellement je ne pense,0:09:16.040000,0:09:19.260000,556.04,559.26,3.2200000000000273
3748,5269210_001,trois euh mes parents divorcés mon père c'est jamais occupé de loin le qu'ils ont fait la fête des pères je j'ai jamais été en colère contre ça en disant bah voilà j'ai pas de plaire je pas faire de cadeaux,0:09:19.260000,0:09:30.040000,559.26,570.04,10.779999999999973
3749,5269210_001,ses parents d'élèves regrettent également le manque de concertation la directrice elle estime que sans la fête des mères les enfants réalise déjà beaucoup d'objets destinées à être ramenés à la maison,0:09:30.090000,0:09:40.420000,570.09,580.42,10.329999999999927
3750,5269210_001,l'actualité internationale est en ukraine c'est un scrutin à haut risque qui doit se dérouler dimanche l'élection présidentielle organisée par le nouveau gouvernement de kiev,0:09:40.420000,0:09:50.440000,580.42,590.44,10.020000000000095
3751,5269210_001,mais dans l'est du pays la situation est toujours extrêmement tendue,0:09:50.440000,0:09:54.060000,590.44,594.06,3.619999999999891
3752,5269210_001,des combats ont à nouveau fait cinq morts ce matin à donetsk on le voit bien le vote risque d'être très difficile voire impossible organiser dans les régions où les pro russes ont pris le pouvoir par la force sur place le reportage de nos envoyés spéciaux marc dechalvron et olivier martinez,0:09:54.060000,0:10:11.030000,594.06,611.03,16.970000000000027
3753,5269210_001,bienvenue dans les coulisses du pouvoir ukrainien nous sommes invités à une réunion cruciale sur leur,0:10:12.760000,0:10:17.820000,612.76,617.82,5.060000000000059
3754,5269210_001,organisation de l'élection présidentielle le premier ministre ukrainien fait le point en vidéo-conférence avec toutes les régions du pays,0:10:17.820000,0:10:25.130000,617.82,625.13,7.309999999999945
3755,5269210_001,nous entendrons je veux insister il faut que tous les citoyens ukrainiens puissent voter,0:10:25.130000,0:10:31.300000,625.13,631.3,6.169999999999959
3756,5269210_001,dans la salle les représentants des pouvoirs locaux de données qui coûte le chef du gouvernement sans broncher quand la connexion se coupe on nous demande d'arrêter de filmer nous continuons en caméra indiscrète les langues se délient immédiatement,0:10:33.470000,0:10:49.060000,633.47,649.06,15.589999999999918
3757,5269210_001,mais comment veulent ils qu'on organise des élections les séparatistes vont attaquer les bureaux et voler tous les bulletins de vote,0:10:49.060000,0:10:55.430000,649.06,655.43,6.3700000000000045
3758,5269210_001,car la ville de donner à ce qui est en grande partie sous le contrôle des séparatistes armés,0:10:55.940000,0:11:01.040000,655.94,661.04,5.099999999999909
3759,5269210_001,des pro russe,0:11:01.040000,0:11:03.890000,661.04,663.89,2.8500000000000227
3760,5269210_001,bonjour au peuple de la république de de naître,0:11:04.390000,0:11:07.540000,664.39,667.54,3.1499999999999773
3761,5269210_001,parce que les leaders séparatistes martèle sans cesse le même message ils empêcheront cette élection par tous les moyens possibles,0:11:07.540000,0:11:16.710000,667.54,676.71,9.170000000000073
3762,5269210_001,c'est comme un conseil mettez vous c'est mieux de ne pas ouvrir ses bureaux de vote chez les gens seraient alors en danger,0:11:18.170000,0:11:27.280000,678.17,687.28,9.110000000000014
3763,5269210_001,et les séparatistes et de exhibé fièrement leur butin sur ces vidéos tout le matériel électoral saisi par la force ces derniers jours exemple ici des séparatistes armés sont passés il y a moins de quarante huit heures menaçant physiquement les employés de la commission électorale,0:11:29.250000,0:11:45.970000,689.25,705.97,16.720000000000027
3764,5269210_001,les devraient tous les meubles ils ont forcé tous les verrous et ils ont pris tout ce qu'il pouvait,0:11:45.970000,0:11:52.630000,705.97,712.63,6.659999999999968
3765,5269210_001,toutes les antennes de la commission électorale ont été attaqués à donetsk laissons les employés sous le choc traumatisée,0:11:52.630000,0:11:59.440000,712.63,719.44,6.810000000000059
3766,5269210_001,techniquement en pouvais organiser l'élection le problème c'est qu'on manque de personnel les gens ont eu tellement peur aujourd'hui on a toute une pile de lettres d'employés qui ne veulent plus organiser les élections,0:11:59.440000,0:12:12.880000,719.44,732.88,13.43999999999994
3767,5269210_001,bien loin de la volonté affichée du gouvernement ukrainien d'organiser ce scrutin partout coûte que coûte le processus électoral à donetsk est totalement paralysé un million de personnes au bas mot pourrait bien être privés de vote ce dimanche,0:12:12.880000,0:12:25.760000,732.88,745.76,12.879999999999995
3768,5269210_001,on parle des élections européennes maintenant le scrutin s'est déroulé hier aux pays-bas et d'après les sondages réalisés le jour du vote le populiste néerlandais geert wilders se placerait bien en dessous des estimations de ces dernières semaines,0:12:25.950000,0:12:39.790000,745.95,759.79,13.839999999999918
3769,5269210_001,en effet son score serait notablement inférieur à son résultat lors de l'élection de deux neuf françois beaudonnet il y a il n'y queens,0:12:39.790000,0:12:47.550000,759.79,767.55,7.759999999999991
3770,5269210_001,on peut la cuisine dans ses son dernier coup d'éclat la veille des élections le leader islamophobe néerlandais était venu à bruxelles pour arracher symboliquement son pays des griffes,0:12:47.550000,0:12:58.740000,767.55,778.74,11.190000000000055
3771,5269210_001,de l'union européenne garde wilders avait mené tambour battant campagne contre l'europe et contre l'immigration marocaine pendant des semaines son parti était donné en tête des européennes,0:12:58.740000,0:13:10.390000,778.74,790.39,11.649999999999977
3772,5269210_001,mais hier jour du scrutin après les derniers sondages,0:13:10.390000,0:13:13.960000,790.39,793.96,3.57000000000005
3773,5269210_001,geert wilders ne cache pas sa déception nous nous sommes battus comme des lions slim ce j'espère encore que les résultats définitifs dimanche nous permettront de garder nos quatre sièges au bénin a toujours selon ces sondages c'est un parti pro européen,0:13:13.960000,0:13:32.030000,793.96,812.03,18.069999999999936
3774,5269210_001,qui gagnerait des intentions de vote et qui pourrait créer la surprise,0:13:32.030000,0:13:35.740000,812.03,815.74,3.7100000000000364
3775,5269210_001,ben j'adore l'europe je trouve que nous formons le plus bel ensemble de pays au monde,0:13:35.740000,0:13:41.740000,815.74,821.74,6.0
3776,5269210_001,le reste de l'europe c'est un idéal c'est une bonne idée sur le plan économique et grâce à cela nous n'avons eu des guerres,0:13:41.920000,0:13:48.650000,821.92,828.65,6.730000000000018
3777,5269210_001,mais la prudence reste de mise car les résultats officiels des élections aux pays bas ne seront publiés que dimanche soir en même temps que ce tout des vingt sept autres pays de l'union européenne et ils seront observées avec beaucoup d'attention car le parti de geert wilders c'est pour ce scrutin l'allié du front national,0:13:48.650000,0:14:06.900000,828.65,846.9,18.25
3778,5269210_001,alors justement que pensent le front national en france de cette possible contre performance d'un parti nationaliste,0:14:06.900000,0:14:12.660000,846.9,852.66,5.759999999999991
3779,5269210_001,nous avons questionné ce matin florian philippot le vice président du front national il se veut très prudent pour lui l'essentiel c'est le scrutin en france on l'écoute,0:14:12.710000,0:14:21.360000,852.71,861.36,8.649999999999977
3780,5269210_001,pense t-on sur tous là ou parlons que de sondages,0:14:21.360000,0:14:24.060000,861.36,864.06,2.699999999999932
3781,5269210_001,parce que nous n'avons pas accès aux vrais résultats aux vrais bulletins de vote déposés dans les urnes euh mais nous verrons bien donc dimanche un peu de patience il reste de trois jours on voit dynamique d'accélération pour le front national et le rassemblement bleu marine en fin de campagne on voit que c'est plutôt l'ump qui semble décrochée comme le parti socialiste,0:14:24.060000,0:14:41.910000,864.06,881.91,17.850000000000023
3782,5269210_001,d'ailleurs euh eh bien ça prouve qu'une envie de patriotisme en france maintenant encore une fois ce sont que les tendances et des sondages il faut aller euh concrétiser tout cela dans les urnes,0:14:41.910000,0:14:52.120000,881.91,892.12,10.210000000000036
3783,5269210_001,et je suis confiant sur le score du front national qui de toute façon sera très élevé conçoit premier ou deuxième j'espère qu'on sera premier mais de toute façon très élevé est beaucoup plus élevé que le record historique du seront aux européennes qui date de mille neuf cent quatre vingt neuf et c'était onze virgule cinq pour cent d' l'époque,0:14:52.120000,0:15:06.320000,892.12,906.32,14.200000000000045
3784,5269210_001,et concernant les élections européennes justement sachez que france deux vous propose une soirée spéciale dimanche à partir de dix neuf heures quarante cinq,0:15:06.320000,0:15:13.830000,906.32,913.83,7.509999999999991
3785,5269210_001,avec nathalie saint cricq laurent delahousse les david pujadas qui sont qui recevront que de nombreux invités,0:15:13.830000,0:15:19.550000,913.83,919.55,5.719999999999914
3786,5269210_001,l'europe justement peut aussi financer l'insertion professionnelle à vient m'embaucher c'est le nom d'une opération original et astucieux menée à marseille son but,0:15:19.550000,0:15:30.060000,919.55,930.06,10.509999999999991
3787,5269210_001,diffusé des ministres cv sous forme de ronds de serviette en papier dans les restaurants et cette campagne est rendue possible grâce aux subventions de bruxelles l'avantage c'est que des employeurs potentiels peuvent tomber sur ces annonces le temps d'un déjeuner et qu'ils peuvent les glisser aisément dans leurs poches frédéric crota christophe la rocca,0:15:30.060000,0:15:47.550000,930.06,947.55,17.49000000000001
3788,5269210_001,dans le quartier ont plein renouveau celui des docks à marseille ce restaurant associatif accueille au déjeuner des employés de bureau ou d'administration charlotte bensoussan la maîtresse des lieux a eu l'idée de favoriser le contact entre patrons et chômeurs de longue durée,0:15:48.160000,0:16:02.080000,948.16,962.08,13.920000000000073
3789,5269210_001,chaque jour sur ces tables bien en évidence elle dispose d'un curriculum vitae en forme de porte-serviette destinées à séduire d'éventuels employeurs,0:16:02.260000,0:16:10.540000,962.26,970.54,8.279999999999973
3790,5269210_001,probablement mourir comment vit le moment,0:16:12.730000,0:16:15.240000,972.73,975.24,2.509999999999991
3791,5269210_001,agent hospitalier peintre aux boulangers dix-huit chômeurs ont décidé de jouer le jeu et de se mettre en scène en espérant un coup de coeur d'un client du restaurant,0:16:23.140000,0:16:31.410000,983.14,991.41,8.269999999999982
3792,5269210_001,ça donne euh euh l'envie de de retourner de voir ce qu'il y a derrière donc de lire le cv donc faut c'est un intéressant pour les employeurs qui viennent manger dans ce type de vieux,0:16:32.390000,0:16:42.250000,992.39,1002.25,9.860000000000014
3793,5269210_001,cette secrétaire vient d'être licencié après vingt quatre ans passés dans la même entreprise cette initiative lui redonner un peu d'espoir,0:16:42.250000,0:16:49.220000,1002.25,1009.22,6.970000000000027
3794,5269210_001,c'est un homme plus confiance effectivement oui,0:16:51.130000,0:16:53.360000,1011.13,1013.36,2.230000000000018
3795,5269210_001,et on a espoir que ça,0:16:54.610000,0:16:56.750000,1014.61,1016.75,2.1399999999999864
3796,5269210_001,financée par des subventions publiques cette action reçoit l'aide de l'europe coût total de l'opération cinq mille euros la moitié payé par bruxelles,0:16:57.690000,0:17:05.460000,1017.69,1025.46,7.769999999999982
3797,5269210_001,c' personne est dites fragiles par rapport à à l'emploi et c'était effectivement critères d'intervention de l'europe c'est une des priorités de l'europe,0:17:05.470000,0:17:13.250000,1025.47,1033.25,7.779999999999973
3798,5269210_001,pour l'instant aucune embauche l'a été rendue possible mais cette formule permet de redonner confiance à des chômeurs parfois découragés dans leur recherche d'emploi,0:17:13.300000,0:17:20.860000,1033.3,1040.86,7.559999999999945
3799,5269210_001,on peut on justement faire preuve de solidarité sans tomber dans l'assistanat des bénévoles répondent oui,0:17:21.270000,0:17:27.970000,1041.27,1047.97,6.7000000000000455
3800,5269210_001,ils ont créé une friperies sociale il répare aussi des meubles d'occasion et les vendre grâce aux bénéfices il finance une épicerie de l'entraide ou les familles les plus modestes viennent s'approvisionner reportage arabe au dos dans les vosges catherine rougerie david fossard,0:17:27.970000,0:17:42.230000,1047.97,1062.23,14.259999999999991
3801,5269210_001,un atelier de création une friperies une épicerie trois activités au service de la solidarité,0:17:42.870000,0:17:49.250000,1062.87,1069.25,6.380000000000109
3802,5269210_001,ce dépôt vente ils essaient,0:17:49.250000,0:17:53.090000,1069.25,1073.09,3.839999999999918
3803,5269210_001,certes les couture génère des revenus qui permet de financer les files d'attente épiceries solidaires nous sommes au coeur des vosges dans la vallée du rabot d'eau à la maison d'entraide,0:17:53.090000,0:18:04.910000,1073.09,1084.91,11.820000000000164
3804,5269210_001,devenait bénévoles revient du supermarché dans leurs mains des produits revendu ici presque à moitié prix,0:18:05.780000,0:18:13.440000,1085.78,1093.44,7.660000000000082
3805,5269210_001,ce que nous avons acheté aujourd'hui nous appliquons quarante pour cent moins cher pour revente à notre clientèle des vous,0:18:13.440000,0:18:21.630000,1093.44,1101.63,8.190000000000055
3806,5269210_001,la clientèle des personnes à faibles revenus qui ne peuvent plus payer leurs factures de un euro on a cette mère de famille travaillent en intérim installer dans le foyer alors forcément chaque euro,0:18:21.630000,0:18:36.090000,1101.63,1116.09,14.459999999999809
3807,5269210_001,compte le gruyère râpé zéro soixante dix-huit,0:18:36.090000,0:18:41.910000,1116.09,1121.91,5.820000000000164
3808,5269210_001,pour aujourd'hui vous en avez pour vingt six heures douze et vous avez été vingt euros soixante seize d'économies que vous allez affectés au paiement euh de la dette en cours on a si bien ensemble c'est à dire eau,0:18:41.910000,0:18:53.530000,1121.91,1133.53,11.61999999999989
3809,5269210_001,car ici solidarité rime avec contrepartie les économies faites via l'épicerie doivent servir à régler les dettes,0:18:53.840000,0:19:00.990000,1133.84,1140.99,7.150000000000091
3810,5269210_001,tron avec la petite différence la grève ouais jouer euh mais ça doit son porte-monnaie c'est pas et puis une fois par mois je vais régler euh mais j'ai payé qu'on fait au trésor public,0:19:00.990000,0:19:13.140000,1140.99,1153.14,12.150000000000091
3811,5269210_001,du donnant-donnant efficace une approche partagée par tous les bénévoles une trentaine se relayent tout au long de la semaine,0:19:13.340000,0:19:21.250000,1153.34,1161.25,7.910000000000082
3812,5269210_001,rien n'est donnée tout est payant un chaque petite chose même à des prix très modique mais chaque chose est payant donc les gens gardent leur dignité lorsqu'ils font les achats on leur donne pas quelque chose ils achètent,0:19:21.250000,0:19:33.620000,1161.25,1173.62,12.36999999999989
3813,5269210_001,sur un budget de cent soixante six mille euros en deux mille treize quatre vingt huit pour cent des ressources provenait des activités un terme,0:19:33.620000,0:19:41.040000,1173.62,1181.04,7.420000000000073
3814,5269210_001,et seulement douze pour cent des dons et subventions mais pour l'association ces douze pour cent c'est encore trop dont ils doivent donc trouver de nouveaux revenus dit plus long d'où l'ouverture en mars dernier de cet atelier de création qui propose des vêtements sur mesures à moindre,0:19:41.040000,0:19:56.750000,1181.04,1196.75,15.710000000000036
3815,5269210_001,beaucoup trop largeur lui c'est un très large c'est pour nous le moyen d'autofinancer notre association et de répondre aussi aux ports assistanat puisqu'on demande aux gens de travailler de devenir parce qu'on leur propose quelque chose or assistanat il est normal que l'association cherche elle même son propre autofinancement,0:19:56.750000,0:20:15.470000,1196.75,1215.47,18.720000000000027
3816,5269210_001,c'autofinancé et créer des emplois aussi après l'embauche d'une première styliste l'association veut étoffer l'équipe bush beaucoup quand vous d'ailleurs aujourd'hui ce candidat un créateur et reçu pour la seconde fois enjeu un contrat de vingt heures par semaine pour commencer,0:20:15.470000,0:20:33.300000,1215.47,1233.3,17.829999999999927
3817,5269210_001,parce qu'il est il validé si par exemple monsieur thiais vous madame marcou euh se révèlent à la hauteur de leur tâche de développer cet atelier ensuite ça peut être une création d'emplois mais beaucoup plus euh enfin moins précaire mais vraiment euh à durée indéterminée tous travailler,0:20:33.300000,0:20:49.700000,1233.3,1249.7,16.40000000000009
3818,5269210_001,prochain défi pour l'association ouvrir d'autres maisons de l'entraide en france sont tous,0:20:49.700000,0:20:54.930000,1249.7,1254.93,5.230000000000018
